
iteration number: 1

-527.086 | -609.056 | -460.294 | -264.732 | 365.232 | -223.631 | 634.201 | -269.786 | -430.219 | 481.418 | 485.041 | -61.685 | -554.532 | 520.077 | -844.886 | -724.666 | -611.716 | 693.504 | -265.404 | 894.978 | 
-857.857 | 952.85 | 490.613 | 431.87 | -926.002 | 270.191 | 705.64 | 956.206 | -171.692 | 333.445 | -605.331 | -16.3195 | -985.048 | 775.179 | -383.781 | -124.104 | -650.497 | -462.416 | -970.185 | 320.707 | 

iteration number: 2

-527.086 | -430.219 | -269.786 | -265.404 | -264.732 | -223.631 | 663.862 | 663.862 | 663.862 | 663.862 | 663.862 | 663.862 | 663.862 | 663.862 | 365.232 | 481.418 | 485.041 | 520.077 | 634.201 | 693.504 | 
431.87 | 333.445 | 320.707 | 270.191 | -977.626 | -977.626 | -977.626 | -977.626 | -977.626 | -977.626 | -977.626 | -977.626 | -16.3195 | -171.692 | -383.781 | -462.416 | -857.857 | -926.002 | -970.185 | -985.048 | 

iteration number: 3

-223.631 | 663.872 | 663.872 | 663.872 | 663.872 | 663.872 | 663.872 | 663.872 | 663.872 | 365.232 | 481.418 | 520.077 | 634.201 | 663.862 | 663.862 | 663.862 | 663.862 | 663.862 | 663.862 | 663.862 | 
-977.636 | -977.636 | -977.636 | -977.636 | -977.636 | -977.636 | -977.636 | -977.636 | -383.781 | -462.416 | -857.857 | -926.002 | -970.185 | -977.626 | -977.626 | -977.626 | -977.626 | -977.626 | -977.626 | -977.626 | 

iteration number: 4

663.882 | 663.882 | 663.882 | 663.882 | 663.882 | 663.882 | 663.882 | 663.882 | 663.882 | 663.882 | 663.862 | 663.862 | 663.862 | 663.862 | 663.862 | 663.862 | 663.872 | 663.872 | 663.872 | 663.872 | 
-977.646 | -977.646 | -977.646 | -977.646 | -977.646 | -977.646 | -977.646 | -977.646 | -977.646 | -977.646 | -977.626 | -977.626 | -977.626 | -977.626 | -977.626 | -977.636 | -977.636 | -977.636 | -977.636 | -977.636 | 

iteration number: 5

663.892 | 663.892 | 663.892 | 663.892 | 663.892 | 663.892 | 663.892 | 663.892 | 663.892 | 663.892 | 663.862 | 663.872 | 663.872 | 663.872 | 663.882 | 663.882 | 663.882 | 663.882 | 663.882 | 663.882 | 
-977.656 | -977.656 | -977.656 | -977.656 | -977.656 | -977.656 | -977.656 | -977.656 | -977.656 | -977.656 | -977.636 | -977.636 | -977.646 | -977.646 | -977.646 | -977.646 | -977.646 | -977.646 | -977.646 | -977.646 | 

iteration number: 6

